record_id,json_valid,n_fields_expected,n_fields_present,n_required_present,field_coverage_pct,required_coverage_pct,n_type_checked,n_type_errors,type_compliance_pct,schema_compliant
NAR_40000042,True,120,38,31,31.67,31.63,34,0,100.0,False
NAR_40000043,True,120,59,51,49.17,52.04,51,0,100.0,False
NAR_40000044,True,120,90,75,75.0,76.53,75,0,100.0,False
NAR_40000045,True,120,67,63,55.83,64.29,63,0,100.0,False
NAR_41000001,True,120,59,52,49.17,53.06,52,0,100.0,False
NAR_41000002,True,120,64,58,53.33,59.18,58,0,100.0,False
NAR_41000003,True,120,90,80,75.0,81.63,81,0,100.0,True
NAR_41000004,True,120,66,57,55.0,58.16,58,0,100.0,False
NAR_52000077,True,120,47,38,39.17,38.78,40,0,100.0,False
NAR_52000078,True,120,66,57,55.0,58.16,59,0,100.0,False
NAR_52000079,True,120,57,54,47.5,55.1,53,0,100.0,False
NAR_52000080,True,120,50,47,41.67,47.96,49,0,100.0,False
NAR_53000067,True,120,58,49,48.33,50.0,49,0,100.0,False
NAR_53000110,True,120,40,30,33.33,30.61,31,0,100.0,False
NAR_53000111,True,120,82,75,68.33,76.53,75,0,100.0,False
NAR_53000137,True,120,90,79,75.0,80.61,81,0,100.0,True
NAR_63000071,True,120,74,68,61.67,69.39,69,0,100.0,False
NAR_63000072,True,120,92,85,76.67,86.73,86,0,100.0,True
NAR_63000073,True,120,72,65,60.0,66.33,68,0,100.0,False
NAR_63000074,True,120,63,56,52.5,57.14,57,0,100.0,False
NAR_72000023,True,120,48,39,40.0,39.8,42,0,100.0,False
NAR_72000030,True,120,26,18,21.67,18.37,19,0,100.0,False
NAR_72000033,True,120,81,78,67.5,79.59,77,0,100.0,False
NAR_72000034,True,120,63,60,52.5,61.22,60,0,100.0,False
NAR_76000056,True,120,58,50,48.33,51.02,51,0,100.0,False
NAR_76000057,True,120,67,58,55.83,59.18,61,0,100.0,False
NAR_76000059,True,120,78,68,65.0,69.39,72,0,100.0,False
