year_month,quarter,n_records,n_observations,mean_accuracy,std_accuracy,model
2021-02,2021-Q1,1,57,0.614,0.491,qwen
2024-10,2024-Q4,1,53,0.358,0.484,qwen
2024-11,2024-Q4,5,318,0.566,0.496,qwen
2024-12,2024-Q4,9,617,0.677,0.468,qwen
2025-01,2025-Q1,14,1008,0.713,0.452,qwen
2025-02,2025-Q1,2,144,0.368,0.484,qwen
2025-04,2025-Q2,4,230,0.735,0.442,qwen
2025-05,2025-Q2,2,152,0.559,0.498,qwen
2025-08,2025-Q3,1,81,0.667,0.474,qwen
2025-09,2025-Q3,1,61,0.721,0.452,qwen
Unknown period,Unknown period,3,185,0.432,0.497,qwen
