record_id,llm_runtime_s,total_runtime_s,run_id,model
NAR_40000042,131.0952956200017,131.23198911799773,,gemma
NAR_40000043,176.29471198300234,176.43567640499896,,gemma
NAR_40000044,186.85944925700096,186.9902127000023,,gemma
NAR_40000045,142.35198500499973,142.49123344200052,,gemma
NAR_41000001,146.4270890680018,146.5732707629977,,gemma
NAR_41000002,130.91235598799904,131.03956882200146,,gemma
NAR_41000003,129.61170095299894,129.76187202299843,,gemma
NAR_41000004,126.66544093500124,126.80027453900038,,gemma
NAR_52000077,144.05986052300068,144.23253416200168,,gemma
NAR_52000078,128.28241866100143,128.4427540120014,,gemma
NAR_52000079,123.48259548100032,123.63069208399975,,gemma
NAR_52000080,119.2244375549999,119.36414013600006,,gemma
NAR_53000067,134.61579695899854,134.76863033800328,,gemma
NAR_53000110,154.1447841090012,154.27499995100152,,gemma
NAR_53000111,196.83126448099938,196.96636903800027,,gemma
NAR_53000137,137.753013603,137.88705033099905,,gemma
NAR_63000071,118.2107528589986,118.33810670599996,,gemma
NAR_63000072,188.66468174600232,188.79778680300296,,gemma
NAR_63000073,184.1317335370004,184.2775956229998,,gemma
NAR_63000074,117.12004568700286,117.27113723299772,,gemma
NAR_72000023,144.20443696800066,144.3526864689993,,gemma
NAR_72000030,175.6068864379995,175.7452980880007,,gemma
NAR_72000033,195.35694891399908,195.48753972000122,,gemma
NAR_72000034,113.89031087299736,114.02030594700045,,gemma
NAR_76000056,143.09296388000075,143.271690288002,,gemma
NAR_76000057,145.76450455899976,145.9438620209985,,gemma
NAR_76000059,128.16826212600063,128.3132069409985,,gemma
